epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
10,5865.66,0.53938,0.37599,0.88503,0.96279,0.93478,0.98256,0.89386,0.44127,0.30053,0.82964,0.001406,0.001406,0.001406
11,6871.17,0.54254,0.37759,0.88499,0.95817,0.95151,0.98405,0.89238,0.45884,0.29582,0.83451,0.00134,0.00134,0.00134
12,7856.22,0.52577,0.35659,0.87856,0.94759,0.95931,0.98429,0.90349,0.43568,0.29468,0.83118,0.001274,0.001274,0.001274
13,8836.95,0.52645,0.35719,0.8798,0.96388,0.95207,0.98656,0.90466,0.43115,0.28333,0.82848,0.001208,0.001208,0.001208
14,9788.88,0.52118,0.35206,0.8801,0.96227,0.95875,0.9855,0.90107,0.43063,0.2798,0.82714,0.001142,0.001142,0.001142
15,10738.7,0.5126,0.34786,0.87484,0.96723,0.95206,0.98427,0.90435,0.42998,0.27705,0.8277,0.001076,0.001076,0.001076
16,11685.3,0.50588,0.33798,0.87282,0.96394,0.95764,0.98657,0.90272,0.438,0.27871,0.8326,0.00101,0.00101,0.00101
17,12585.8,0.49974,0.331,0.86789,0.97358,0.94491,0.98808,0.90724,0.42804,0.27158,0.82794,0.000944,0.000944,0.000944
18,13528.7,0.4932,0.32732,0.86978,0.96799,0.95318,0.98637,0.90682,0.42503,0.27086,0.82714,0.000878,0.000878,0.000878
19,14453.9,0.49056,0.32001,0.86671,0.966,0.95095,0.98713,0.91289,0.41454,0.26218,0.82613,0.000812,0.000812,0.000812
20,15390.5,0.48383,0.32048,0.86949,0.97127,0.94649,0.98713,0.91755,0.40322,0.25154,0.82085,0.000746,0.000746,0.000746
21,16296.7,0.44123,0.27828,0.84289,0.96259,0.96098,0.98893,0.91599,0.41805,0.25388,0.82365,0.00068,0.00068,0.00068
22,17174.4,0.43004,0.26718,0.83927,0.96199,0.95932,0.98726,0.91788,0.40405,0.25566,0.82011,0.000614,0.000614,0.000614
23,18051.3,0.42575,0.26259,0.83734,0.96588,0.95931,0.98652,0.92088,0.39808,0.24926,0.81936,0.000548,0.000548,0.000548
